project,date,author,aqua,condition,species,id,weight,temperature,salinity,statut,comment
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,50,0.468,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,51,1.170,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,52,0.775,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,53,1.024,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,54,0.707,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,55,0.592,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,56,0.912,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,57,1.430,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,58,1.004,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,59,0.826,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,60,0.927,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,61,0.489,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,62,0.932,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,63,1.489,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,64,1.068,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,65,1.753,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,66,1.105,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,67,1.275,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,68,1.123,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,69,1.293,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,70,0.329,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,71,0.960,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,72,1.066,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,73,0.685,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,74,1.232,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,75,1.434,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,76,0.300,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,77,0.975,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,78,1.228,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,79,0.865,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,80,1.112,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,81,0.502,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,82,1.665,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,83,0.600,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,84,0.592,25.2,35.1,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,1,0.460,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,2,0.311,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,3,,25.0,35.0,dead,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,4,1.153,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,5,0.720,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,6,0.425,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,7,0.861,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,8,0.246,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,9,0.580,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,10,1.010,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,11,0.564,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,12,1.149,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,13,0.645,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,14,0.238,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,15,,25.0,35.0,dead,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,16,0.298,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,17,0.511,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,18,0.868,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,19,0.672,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,20,0.816,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,21,0.545,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,22,0.328,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,23,0.483,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,24,0.934,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,25,0.578,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,26,1.005,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,27,0.720,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,28,0.860,25.0,35.0,good,
